customer_unique_id,email,phone
861eff4711a542e4b93843c6dd7febb0,user_861eff47@gmail.com,+55-53054-7398
290c77bc529b7ac935b93aa66c333dc3,user_290c77bc@gmail.com,+55-76918-7015
060e732b5b29e8181a18229c7b0b2b5e,user_060e732b@gmail.com,+55-46359-4856
259dac757896d24d7702b9acbbff3f3c,user_259dac75@gmail.com,+55-74120-1856
345ecd01c38d18a9036ed96c73b8d066,user_345ecd01@gmail.com,+55-57629-4065
4c93744516667ad3b8f1fb645a3116a4,user_4c937445@gmail.com,+55-16496-6626
addec96d2e059c80c30fe6871d30d177,user_addec96d@gmail.com,+55-64397-9540
57b2a98a409812fe9618067b6b8ebe4f,user_57b2a98a@gmail.com,+55-63688-6315
1175e95fb47ddff9de6b2b06188f7e0d,user_1175e95f@gmail.com,+55-74184-5971
9afe194fb833f79e300e37e580171f22,user_9afe194f@gmail.com,+55-47854-8062
2a7745e1ed516b289ed9b29c7d0539a5,user_2a7745e1@gmail.com,+55-42551-4992
2a46fb94aef5cbeeb850418118cee090,user_2a46fb94@gmail.com,+55-42053-9137
918dc87cd72cd9f6ed4bd442ed785235,user_918dc87c@gmail.com,+55-31113-1435
295c05e81917928d76245e842748184d,user_295c05e8@gmail.com,+55-79677-8914
3151a81801c8386361b62277d7fa5ecf,user_3151a818@gmail.com,+55-27322-5207
21f748a16f4e1688a9014eb3ee6fa325,user_21f748a1@gmail.com,+55-26125-4542
5c2991dbd08bbf3cf410713c4de5a0b5,user_5c2991db@gmail.com,+55-28599-7856
b6e99561fe6f34a55b0b7da92f8ed775,user_b6e99561@gmail.com,+55-24013-8307
7f3a72e8f988c6e735ba118d54f47458,user_7f3a72e8@gmail.com,+55-94175-4754
3e6fd6b2f0d499456a6a6820a40f2d79,user_3e6fd6b2@gmail.com,+55-20360-4296
e607ede0e63436308660236f5a52da5e,user_e607ede0@gmail.com,+55-48860-1725
a96d5cfa0d3181817e2b946f921ea021,user_a96d5cfa@gmail.com,+55-31268-8848
482441ea6a06b1f72fe9784756c0ea75,user_482441ea@gmail.com,+55-26920-3045
4390ddbb6276a66ff1736a6710205dca,user_4390ddbb@gmail.com,+55-91351-7629
a5844ba4bfc8d0cc61d13027c7e63bcc,user_a5844ba4@gmail.com,+55-76346-2261
5f102dd37243f152aec3607970aad100,user_5f102dd3@gmail.com,+55-95797-3673
9c0096673baf55453a50073f12d1a37f,user_9c009667@gmail.com,+55-22173-6769
2e6a42a9b5cbb0da62988694f18ee295,user_2e6a42a9@gmail.com,+55-77449-1610
4d221875624017bc47b4d1ce7314a5b7,user_4d221875@gmail.com,+55-88918-3464
